Title,Subtitle,Author,Publisher,Description,Category,Search Category
An Age of Enormity,Life and Writing in the Forties and Fifties,Isaac Rosenfeld,,,"""Literature"", ""Modern""",horror
Tri-quarterly,,,,,"""College students' writings"", ""American""",horror
Barnet & Stubbs's Practical Guide to Writing,With Readings,"Sylvan Barnet, Marcia Stubbs",,"A comprehensive guide to writing, this text covers grammar, mechanics, punctuation and writing across the disciplines.","""Language Arts & Disciplines""",horror
The Anglo-Welsh Review,,,,,"""English literature""",horror
The Devil and the Deep,Horror Stories of the Sea,Ellen Datlow,Night Shade,"WINNER OF THE 2018 BRAM STOKER AWARD FOR BEST ANTHOLOGY Stranded on a desert island, a young man yearns for objects from his past. A local from a small coastal town in England is found dead as the tide goes out. A Norwegian whaling ship is stranded in the Arctic, its crew threatened by mysterious forces. In the nineteenth century, a ship drifts in becalmed waters in the Indian Ocean, those on it haunted by their evil deeds. A surfer turned diver discovers there are things worse than drowning under the sea. Something from the sea is creating monsters on land. In The Devil and the Deep, award-winning editor Ellen Datlow shares an all-original anthology of horror that covers the depths of the deep blue sea, with brand new stories from New York Times bestsellers and award-winning authors such as Seanan McGuire, Christopher Golden, Stephen Graham Jones, and more.","""Fiction""",horror
The Living Age,,,,,,horror
The Independent,,,,,,horror
Body Horror,"Capitalism, Fear, Misogyny, Jokes",Anne Elizabeth Moore,Curbside Splendor Publishing,"Examining horror films, fast fashion, labor trafficking, and more, Anne Elizabeth Moore tackles the brutality done unto women's bodies worldwide.","""Capitalism""",horror
Screen and Screen Again,Essays on the Horror Film,Terry Sherwood,Independently Published,"This is not just another review book as it is part confessional with loads explorations and opinions on the Horror media from a Canadian perspective await in this first volume culled from the blog NITRATE VISIONS. ""Canadian Monster guy"" Author and film buff Terry Sherwood looks at what it means to be away from major influences yet still forge an interest and create a labor of love. The book features two essays on growing up to be a 'Monster Kid' plus a look at fandom tribalism similar to the state of rock and roll music that have not appeared in print before. Curated reviews on film covering aspects of directing, acting, story, influence in the media both past and present. I do have the heart of small child that I keep in my desk drawer.",,horror
The Century Illustrated Monthly Magazine,,,,,"""Literature""",horror
I was a Cold War Monster,"Horror Films, Eroticism, and the Cold War Imagination",Cynthia Hendershot,Popular Press,"Horror films provide a guide to many of the sociological fears of the Cold War era. In an age when warning audiences of impending death was the order of the day for popular nonfiction, horror films provided an area where this fear could be lived out to its ghastly conclusion. Because enemies and potential situations of fear lurked everywhere, within the home, the government, the family, and the very self, horror films could speak to the invasive fears of the cold war era. I Was a Cold War Monster examines cold war anxieties as they were reflected in British and American films from the fifties through the early sixties. This study examines how cold war horror films combined anxiety over social change with the erotic in such films as Psycho, The Tingler, The Horror of Dracula, and House of Wax.","""Performing Arts""",horror
American Horror Fiction,From Brockden Brown to Stephen King,Brian Docherty,Springer,"This volume offers critical and theoretical perspectives on a genre which has remained popular for nearly two hundred years: American horror fiction. There are essays on Charles Brockden Brown, Edgar Allan Poe, H.P.Lovecraft, William Faulkner, Robert Bloch, Patricia Highsmith, Shirley Jackson, Stephen King and Suzy McKee Charnas, covering the period from 1798 to 1983. Each essay deals with a major figure in the genre, from Gothic orginators to modern feminist reworkings. A variety of reading strategies are employed to interrogate these texts, with feminist and psychoanalytic approaches well represented. These essays illustrate the fact that modern literary theory can usefully be applied to any text or genre. Students of horror fiction seeking new readings, and readers interested in modern approaches to literature, will find this book useful and informative. The essays are all new, and have been specially written for Insights by leading academics.","""Fiction""",horror
The Mammoth Book of Best New Horror 19,,Stephen Jones,Hachette UK,"Here is the latest edition of the world's premier annual showcase of horror and dark fantasy fiction. It features some of the very best short stories and novellas by today's masters of the macabre - including Neil Gaiman, Brian Keene, Elizabeth Massie, Glen Hirshberg, Peter Atkins and Tanith Lee. The Mammoth Book of Best New Horror also features the most comprehensive yearly overview of horror around the world, lists of useful contact addresses and a fascinating necrology. It is the one book that is required reading for every fan of macabre fiction. PRAISE FOR THE SERIES 'Well-crafted celebration of a continuously inventive genre' SFX Magazine 'The must-have annual anthology for horror fans.' Time Out 'An essential volume for horror readers.' Locus 'In an age where genre fiction is often just reheated pastiche, the Best New Horror series continues to break from the herd, consistently raising the bar of quality and ingenuity.' Rue Morgue 'Brilliantly edited and most instructively introduced by legendary anthologist Stephen Jones.' Realms of Fantasy 'One of horror's best.' Publishers Weekly","""Fiction""",horror
Storytelling Magazine,,,,,"""Folklore""",horror
Presenting Young Adult Horror Fiction,,Cosette N. Kies,Macmillan Reference USA,Recommends horror tales for young adult audiences,"""American fiction""",horror
Horror World,Vampire Island,"Jason L. Gray, Jason L Gray, Dr",CreateSpace,"The first installment of the ongoing Horror World series by the one and only Master of Horrors, Jason Gray. You'll like it. Every book is paced like a modern video game.","""Fiction""",horror
Dimension of Horror,,Sidney J. Bounds,Wildside Press LLC,,"""Fiction""",horror
The Overlook Film Encyclopedia,Science fiction,Phil Hardy,Overlook Books,Coverage: 1895-1994.,"""Performing Arts""",horror
The Dead Sea Scrolls Catalogue,"Documents, Photographs, and Museum Inventory Numbers",Marilyn J. Lundberg,,,"""Reference""",horror
The Spark of Fear,"Technology, Society and the Horror Film",Brian N. Duchaney,McFarland,"The horror genre is continually being reinvented as societal fears evolve. As technology has developed and become ubiquitous in modern life, horror films have effectively played upon our increasing reliance on technology as a source of anxiety. Focusing on advancements from the advent of electricity to the Internet, this book explores how technology--ostensibly humanity's means of conquering fear and the unknown--has become a compelling and abundant source of dread in horror films.","""Performing Arts""",horror
Outing Magazine,The Outdoor Magazine of Human Interest,,,,"""Sports""",horror
The Durham University Journal,,University of Durham,,,"""Books""",horror
A New Variorum Edition of Shakespeare: Macbeth,,"William Shakespeare, Louis Marder",New York : American Scholar,"Reissue of the 1871 ed., with supplementary bibliographies by Louis Marder.","""Drama""",horror
Korean Horror Cinema,,Alison Peirse,Edinburgh University Press,"As the first detailed English-language book on the subject, Korean Horror Cinema introduces the cultural specificity of the genre to an international audience, from the iconic monsters of gothic horror, such as the wonhon (vengeful female ghost) and the gumiho (shapeshifting fox), to the avenging killers of Oldboy and Death Bell. Beginning in the 1960s with The Housemaid, it traces a path through the history of Korean horror, offering new interpretations of classic films, demarcating the shifting patterns of production and consumption across the decades, and introducing readers to films rarely seen and discussed outside of Korea. It explores the importance of folklore and myth on horror film narratives, the impact of political and social change upon the genre, and accounts for the transnational triumph of some of Korea's contemporary horror films. While covering some of the most successful recent films such as Thirst, A Tale of Two Sisters, and Phone, the collection also explores the obscure, the arcane and the little-known outside Korea, including detailed analyses of The Devil's Stairway, Woman's Wail and The Fox With Nine Tails. Its exploration and definition of the canon makes it an engaging and essential read for students and scholars in horror film studies and Korean Studies alike.","""Performing Arts""",horror
Supernatural Horror in Literature,,Howard Phillips Lovecraft,New York : Dover Publications,The twentieth-century American writer discusses his literary techniques and philosophies along with the history and aesthetics of horror fiction,"""Fiction""",horror
Joren Falls,A Short Horror Story,Laird Barron,Tor Nightfire,"For one retiree, the past can never be packed away. ""Joren Falls"" by Laird Barron is one of 27 short horror stories in Nightfire's audio anthology. Come Join Us by the Fire S2 is the second installment of Nightfire's audio-only horror anthology, featuring a wide collection of short stories from emerging voices in the horror genre as well as longtime fan favorites. The collection showcases the breadth of talent writing in the horror genre today, with contributions from a wide range of genre luminaries including Laird Barron, Indrapramit Das, Shaun Hamill, Daniel M. Lavery, Matthew Lyons, T. Kingfisher, Seanan McGuire, Nibedita Sen, and Nightfireâ€™s own Cassandra Khaw and Silvia Moreno-Garcia. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.","""Fiction""",horror
"Clement Greenberg, Late Writings",,Clement Greenberg,,"This is the first collection of Greenberg's writings from 1970 to 1990, where he explores a surprising breadth of issues and mediums with philosophical insight.","""Art""",horror
E. H. Visiak,Writer and Mystic : a Critical Study with Extracts from His Poetry and Prose,Anthony Harrison-Barbet,,,,horror
Topical Reference Books,,Marion Sader,Bowker-Greenwood,"Like the other titles in Bowkers's Buying Guide series, it will be extremely useful... Booklist Topical Reference Books selects and recommends today's best specialized reference books. It gives librarians and teachers the help they need to make sound choices in a wide range of subject areas. It provides the titles, authors, publishers and ordering information for building strong collections of essential works, preparing for classes, or researching particular subjects. This book offers expert evaluations of over 2,000 preferred titles in 50 categores, from Advertising and Aging to Women's Studies and Zoology. In each category, you'll find: *Headnotes that provide background and suggestions for collection development *Core Titles that identify the most significant books *At-A-Glance charts to help you determine the suitability of particular works.","""Language Arts & Disciplines""",horror
"Film, Television, and Stage Music on Phonograph Records",A Discography,Steve Harris,"Jefferson, N.C. : McFarland","The most comprehensive (through August '86), accurate, and thoroughly researched reference ever published on film, television, and stage music from U.S. and British productions. There are three categories--film music, television music, stage music recordings--and each has two indexes: main records (original and adapted music composed specifically; all records verified) and related records (themes inspired by films, cover versions of traditional music, etc.).","""Music""",horror
Timeless Adventures,How Doctor Who Conquered TV,Brian J. Robb,Oldcastle Books Ltd,"Reveals how Doctor Who is at its strongest when it reflects the political and cultural concerns of a mass British audience (as in the 1960s, 1970s and 21st century), and at its weakest when catering to a narrow, fan-based audience (as in the 1980s). Chapters range from discussions of the cultural and political relevance of Doctor Who monsters like the Daleks and the Cybermen, through to the show's treatment of themes like energy and the environment in the 1970s.","""Fiction""",horror
Modern Poetry in Translation,,,,,"""Poetry""",horror
King Lear,,William Shakespeare,,"[American Shakespeare Festival Theatre, Stratford, Connecticut], ""King Lear,"" directed by Allen Fletcher, scenery & costumes by Will Steven Armstrong, lighting by Tharon Musser, music and songs by Conrad Susa.","""Aging parents""",horror
Fiction Writing Self-taught,A New Approach,Arthur Sullivant Hoffman,,,"""Fiction""",horror
Great Tales of Terror and the Supernatural ,,,,,,horror
"Report on the Colloquium ... Held by the Cambridge Language Research Unit on September 9th and 10th, 1961",,,,,"""Semantics""",horror
The Advocate of Peace,,,,,"""Arbitration (International law)""",horror
Film Monthly,,,,,"""Motion pictures""",horror
Encyclopedia Americana: Meyer to Nauvoo,,,,,"""Encyclopedias and dictionaries""",horror
The Classic German Dictionary,German-English and English-German,,,,"""English language""",horror
The Grisly Horror,,Robert E Howard,,"A shadow that won't stay buried The Grisly Horror propels you into a chilling narrative where ancient dread collides with human courage. Robert E. Howard s grisly, pulse-quickening tale unfolds as a desperate confrontation with a malevolent force lurking beneath a sleepy 1930s town. Equal parts supernatural thriller and eerie adventure, this classic horror story weaves gothic suspense, macabre atmosphere, and pulp-fiction momentum into a dark fantasy that keeps readers turning pages. Howard s lean, muscular prose drives a plot of escalating terror: investigators, occult hints, and grotesque revelations that deliver vintage horror novel thrills with modern readability. Historically significant and stylistically potent, The Grisly Horror is a rare specimen of 1930s horror that influenced generations of horror fiction and pulp authors. Collectors and casual readers alike will appreciate Howard s mastery of mood, his knack for razor-sharp imagery, and the story s place in the evolution of classic horror storycraft. Now republished by Alpha Editions after decades out of print, this restored edition brings The Grisly Horror back into the light for today s and future generations. More than a reprint, it s a collector s item and cultural treasure carefully rescued, remastered, and presented for readers who crave gothic suspense, horror fiction, and the raw power of pulp fiction at its best. Rediscover a macabre tale that refuses to be forgotten.","""Fiction""",horror
Supernatural Horror in Literature,,Lovecraft Howard Phillips,Createspace Independent Publishing Platform,"Fear is one of the oldest and most powerful emotions of humanity, and the kind of older and powerful fear is the fear of the unknown. Very few psychologists deny it and the mere fact admit that reality does not stop giving nature letter to supernatural tales as one of the genuine and worthy forms of literary narratives. Against it all the arrows of a materialistic sophistries, so often cling to the impressions experienced and events externalized understanding this term in its psychological aspect soar, and as naive idealism as tasteless that opposes unsightly motivations, advocating a purely didactic, able to enlighten the reader and ""elevated"" to an appropriate level of optimism affected literature.",,horror
The Inferno,,Dante Alighieri,,,,horror
The Theatre--advancing,,Edward Gordon Craig,,,"""Theater""",horror
Making the Most of Ourselves,Talks for Young People : Second Series,Calvin Dill Wilson,,,"""Conduct of life""",horror
The Poetical Works and Other Writings of John Keats,"Now First Brought Together, Including Poems and Numerous Letters Not Before Published",John Keats,,,"""Poets"", ""English""",horror
The Psycho-analytic Study of the Family,,John Carl Flugel,,,"""Electronic books""",horror
Chambers's Etymological Dictionary of the English Language,,William Chambers,,,"""English language""",horror
The Creaking Door,And Other Tales of Madness and Horror,Andrea D'Allasandra,,"On a rainy, freezing night, in an isolated lake house, a door suddenly creaks open upstairs-where nobody is supposed to be. So begins best-selling Andrea D'Allasandra's latest masterpiece of terror and suspense-The Creaking Door and Other Tales of Madness and Horror. If you dare, journey through these thirteen stories of psychos, zombies and houses that drip blood-where a creaking door is only the beginning of a stream of white-knuckled nightmares. A dead child who returns to haunt her monstrous mother a homicidal hitchhiker who thinks he's found his new victim a woman who discovers there are prehistoric dragons in her own backyard an old house that swallows up its visitors. Encounter thirteen heroines who you'll never forget-the evil, the innocent and the doomed. Andrea D'Allasandra's other three thrillers-Death House, Horror House and The Master of Hell Mountain-have all become international best-sellers!","""Fiction""",horror
Carmilla,Horror and Romance,J. Sheridan LeFanu,è°·æœˆç¤¾,"Upon a paper attached to the Narrative which follows, Doctor Hesselius has written a rather elaborate note, which he accompanies with a reference to his Essay on the strange subject which the MS. illuminates. This mysterious subject he treats, in that Essay, with his usual learning and acumen, and with remarkable directness and condensation. It will form but one volume of the series of that extraordinary man's collected papers. As I publish the case, in this volume, simply to interest the ""laity,"" I shall forestall the intelligent lady, who relates it, in nothing; and after due consideration, I have determined, therefore, to abstain from presenting any prÃ©cis of the learned Doctor's reasoning, or extract from his statement on a subject which he describes as ""involving, not improbably, some of the profoundest arcana of our dual existence, and its intermediates."" I was anxious on discovering this paper, to reopen the correspondence commenced by Doctor Hesselius, so many years before, with a person so clever and careful as his informant seems to have been. Much to my regret, however, I found that she had died in the interval. She, probably, could have added little to the Narrative which she communicates in the following pages, with, so far as I can pronounce, such conscientious particularity.","""Fiction""",horror
"Science Fiction, Fantasy, and Horror Reference",An Annotated Bibliography of Works about Literature and Film,,,"The first book devoted exclusively to listing and evaluating reference books in these genres, this bibliography covering about 300 titles will help librarians, collectors, researchers and others determine what books might be of interest or use to them or their library's patrons.Each book description includes names of contributors, a list of essays or articles where applicable, subject matter emphasis and original publication date.Appendices offer listings and evaluations of critical and bibliographical book series and a suggested core collection checklist. There are three indexes: by subject; by title; and by author, compiler or major contributor.","""Literary Criticism""",horror
The Psychology of Paranormal Belief,A Researcher's Handbook,Harvey J. Irwin,Univ of Hertfordshire Press,"With a thorough and systematic review of investigations into the bases of belief in paranormal phenomena, this discussion explores the four main theoretical approaches relating to the nature of such beliefs. Objective and well-researched, this account addresses different points of view on the topic--while some commentators depict paranormal believers as foolish, others propose that paranormal beliefs must be understood as necessities that serve certain psychodynamic needs. The foundations and shortcomings of each approach are also documented, and a new comprehensive theory attempts to explain the development of scientifically unsubstantiated beliefs.","""Body"", ""Mind & Spirit""",paranormal
Jung on Synchronicity and the Paranormal,,Carl Gustav Jung,Psychology Press,"Roderick Main brings together a selection of both the well-known and less acessible of Jung's writings on psychic phenomena and synchronicity. His introduction sets out clearly the theory of synchronicity, clarifying the more complex issues.","""Body"", ""Mind & Spirit""",paranormal
Paranormal America (second edition),"Ghost Encounters, UFO Sightings, Bigfoot Hunts, and Other Curiosities in Religion and Culture","Christopher D Bader, Joseph O Baker, F. Carson Mencken",NYU Press,"An â€œengrossing and intellectually stimulatingâ€ portrait of the countless Americans who believe in paranormal phenomena (Journal of Religion and Culture). Popular culture makes clear that thereâ€™s a seemingly insatiable public appetite for information and entertainment about what we call the paranormal, supernatural, or mystical. But how many Americans believe in the paranormal, and who are they? Based on extensive research and their own unique experiences, Christopher Bader, Joseph Baker, and Carson Mencken reveal that a significant number hold these beliefs, and that for better or worse, we undoubtedly live in a paranormal America. Paranormal America follows the authors as they participate in psychic and palm readings, have their auras photographed, join a Bigfoot hunt, follow a group of celebrity ghost hunters as they investigate claims of a haunted classroom, and visit a support group for alien abductees. The second edition also includes new and updated research based on findings from the Baylor Religion Survey regarding Americaâ€™s relationship with the paranormal. Drawing on these diverse and compelling sources of data, the book offers an engaging account of the social, personal, and statistical stories of American paranormal beliefs and experiences. It examines topics such as the popularity of paranormal beliefs in the United States, the ways in which these beliefs relate to each other, whether paranormal beliefs will give rise to a new religion, and how believers in the paranormal differ from â€œaverageâ€ Americans. Brimming with fascinating anecdotes and provocative new findings, Paranormal America offers an entertaining yet authoritative examination of a growing segment of American religious culture. â€œAn engaging and eye-opening book that offers an abundance of new insights, dispelling some popular stereotypes and reaffirming others.â€ â€”Roger Finke, Distinguished Professor of Sociology and Religious Studies, Pennsylvania State University","""Social Science""",paranormal
Paranormal Obsession,"America's Fascination with Ghosts & Hauntings, Spooks & Spirits",Deonna Kelli Sayed,Llewellyn Worldwide,"Ghosts and ghouls, demons, poltergeists, phantoms, haunted houses, and shadow peopleâ€”why is America so captivated by the creepy and unexplained? Paranormal Obsession is the first book to explore why we have an insatiable interest in spirits, ghost hunting, and all things otherworldly. Paranormal investigator and researcher Deonna Kelli Sayed reveals how and why our fascination with spirits started. She interviewed ghost hunters, religious figures, scientists, academics, and cast members of the popular TV shows Ghost Hunters and Paranormal State, and offers compelling insight into what our fixation on ghostly activity says about American culture. Paranormal Obsession also highlights the author's paranormal group's investigation of the USS North Carolina, the most haunted battleship in the United States. Praise: ""Everyone can learn a thing or two from Deonna's writings. Her heart and soul are poured into every sentence.""â€”Jason Hawes, co-founder of TAPS and co-star of the SyFy Channel show Ghost Hunters ""Thank you, Deonna, for getting it right.""â€”Grant Wilson, co-founder of TAPS and co-star of the SyFy Channel show Ghost Hunters","""Body"", ""Mind & Spirit""",paranormal
Paranormal Experience and Survival of Death,,Carl B. Becker,SUNY Press,"This text amasses data and surveys from a century of research on the paranormal on four continents: Europe, Asia, and the Americas. Studying the tensions between religious and scientific perspectives, the author reviews numerous substantiated accounts of demon-possession, of memories of past lives, of ghostly apparitions, and out-of-body experiences. He analyzes the medical evidence and what such experiences imply about survival after death. The author then looks at the reasons for the taboos on scientific discussion of such research within the social sciences, and proposes a new paradigm for a more holistic view of the field.","""Body"", ""Mind & Spirit""",paranormal
The Pocket Book of Paranormal Trivia,,Emily A. Georges,Paranormal Trivia,"Did you ever want to know facts about the paranormal? Well, this guide covers a realm of topics in the unexplained world of just such phenomena. It touches on witchcraft, shape-shifting, UFOs, obscure religions and so much more. The questions range in difficulty. Some are very easy to answer while others are challenging even to the experts out there. Whether the paranormal is your ""cup of tea"" or you are just starting your journey you will not be disappointed with this book!","""Games & Activities""",paranormal
Critical Reflections on the Paranormal,,"Michael F. Stoeber, Hugo Anthony Meynell",SUNY Press,"Collection of essays that clarifies and evaluates the various aspects of paranormal phenomena, including telepathy, psychokinesis, trance-mediumship, near-death experiences and past-life memories.","""Body"", ""Mind & Spirit""",paranormal
Paranormal Codes,,"Kaia Stonebrook, AI",Publifye AS,"""""Paranormal Codes"""" explores the intriguing intersections of paranormal phenomena, cultural beliefs, science, and religion. It examines how ghost stories and beliefs in psychic abilities vary across cultures, reflecting unique societal values and fears. The book also investigates whether scientific principles, such as those found in quantum physics, might offer frameworks for understanding phenomena like ESP and near-death experiences. The book emphasizes that paranormal beliefs, while often dismissed, act as a conduit for humanity's exploration of consciousness and the unknown. It delves into the psychological and sociological roots of paranormal belief and reviews scientific research that attempts to explain these phenomena. By tracing the historical impacts of both scientific discovery and religious doctrine, the book emphasizes how our past shapes our understanding of the paranormal. The book begins with an introduction to paranormal concepts and progresses to cover cultural tropes, psychological factors, scientific theories, and religious perspectives. Ultimately, it encourages readers to critically examine the paranormal and consider its ethical implications for our understanding of reality.","""Science""",paranormal
The Paranormal Guide,,Luciana sposaro,Lulu.com,This book is based on everything paranormal. I have written a complete guide for those who want to start ghost hunting. This guide will tell you everything you need to start off and some ghost stories from real people.,"""Religion""",paranormal
Researching the Paranormal,"How to Find Reliable Information about Parapsychology, Ghosts, Astrology, Cryptozoology, Near-Death Experiences, and More",Courtney M. Block,Bloomsbury Publishing USA,"The paranormal has long been a hotly contested topic, especially in academia. Most people are entertained by the paranormal or casually read a few books they come across on the topic, perhaps assuming that these topics are nothing more than campfire fodder. Of course, thereâ€™s nothing wrong with being entertained by the paranormal, but how many people know that there is a long history of academic, scientific, and credible research into topics such as extrasensory perception, hauntings, poltergeists, cryptozoological sightings, near-death experiences, and more? In Researching the Paranormal, Courtney M. Block provides an overview of paranormal research and introduces readers to an assortment of resources that seriously examine various paranormal topics. She shows readers how to think critically about paranormal sources and how to apply the components of credibility when conducting their own paranormal investigations. Highlighting the long history of serious, academic inquiry into various paranormal topics, Block provides citations to primary source documents, journal articles, helpful databases, encyclopedias, dictionaries, and books. In addition, she provides a historical overview of various paranormal phenomena such as parapsychology, cryptozoology, ufology, divination, ghosts, hauntings, and more.","""Body"", ""Mind & Spirit""",paranormal
The Ashgate Research Companion to Paranormal Cultures,,"Olu Jenzen, Sally R. Munt",Routledge,"Despite the much vaunted â€™end of religionâ€™ and the growth of secularism, people are engaging like never before in their own â€™spiritualities of lifeâ€™. Across the West, paranormal belief is on the rise. The Ashgate Research Companion to Paranormal Cultures brings together the work of international scholars across the social sciences and humanities to question how and why people are seeking meaning in the realm of the paranormal, a heretofore subjugated knowledge. With contributions from the UK and other European countries, the USA, Australia and Canada, this ground-breaking book attends to the paranormal as a position from which to critique dominant forms of knowledge production and spirituality. A rich exploration of everyday life practices, textual engagements and discourses relating to the paranormal, as well as the mediation, technology and art of paranormal activity, this book explores themes such as subcultures and mainstreaming, as well as epistemological, methodological, and phenomenological questions, and the role of the paranormal in social change. The Ashgate Research Companion to Paranormal Cultures constitutes an essential resource for those interested in the academic study of cultural engagements with paranormality; it will appeal to scholars of cultural and media studies, popular culture, sociology, cultural geography, literature, film and music.","""Social Science""",paranormal
"Religion, Supernaturalism, the Paranormal and Pseudoscience",An Anthropological Critique,Homayun Sidky,Anthem Press,"""Religion, Supernaturalism, the Paranormal, and Pseudoscience"" provides a comprehensive rejoinder to the challenges posed to science, scientific anthropology, evolutionary theory and rationality by the advocates of supernatural, paranormal, and pseudoscientific perspectives and modes of thought associated with the current rise of irrationalism, antiintellectualism, and emboldened religious fundamentalism and violence. Drawing upon H. Sidkyâ€™s scientific anthropological background and ethnographic field research of supernatural and paranormal beliefs and practices in several cultures over three decades, the book answers several important questions: Why do humans have a proclivity for the supernatural and paranormal thinking? Why has humanity remained shackled to sets of ideas inherited from a violent past that have no basis in reality and which bestow an illusionary solace, promote bloodshed, endless cruelties and fervent hatreds, and have come at a high cost? Why have ancient superstitions been held as sacred, inviolate truths while other aspects of the archaic belief systems of which they were a part have long been discarded? Why have not humans outgrown religion and paranormal beliefs?","""Social Science""",paranormal
Dictionary of The Paranormal,Quickguide To Mystic Words and Phrases,Claus Iversen,Claus Iversen,"""Quickguide To Mystic Words and Phrases."" contains over 40 words and phrases, often heard in connection with the paranormal and ghostly. This book contains easy-to-read and bite-size explanation of common words.","""Body"", ""Mind & Spirit""",paranormal
Paranormal Encounters in Iceland 1150â€“1400,,"Ãrmann Jakobsson, Mariusz Mayburd",Walter de Gruyter GmbH & Co KG,"This anthology of international scholarship offers new critical approaches to the study of the many manifestations of the paranormal in the Middle Ages. The guiding principle of the collection is to depart from symbolic or reductionist readings of the subject matter in favor of focusing on the paranormal as human experience and, essentially, on how these experiences are defined by the sources. The authors work with a variety of medieval Icelandic textual sources, including family sagas, legendary sagas, romances, poetry, hagiography and miracles, exploring the diversity of paranormal activity in the medieval North. This volume questions all previous definitions of the subject matter, most decisively the idea of saga realism, and opens up new avenues in saga research.","""History""",paranormal
Paranormal: In Search of Extraordinary Answers,,Pasquale De Marco,Pasquale De Marco,"Journey into the extraordinary with Paranormal: In Search of Extraordinary Answers, a captivating exploration of the unexplained phenomena that have intrigued humanity for centuries. From ancient tales of ghosts and spirits to modern-day reports of UFO sightings and psychic abilities, this book delves into the depths of the paranormal spectrum, seeking answers to some of the most perplexing questions that have plagued our understanding of the universe. Within these pages, you'll embark on a quest for knowledge, exploring the mysteries of consciousness, dreams, and altered states of being. Question the nature of reality itself as we ponder the existence of parallel universes and the interconnectedness of all things. Investigate unexplained phenomena, such as crop circles and spontaneous human combustion, and uncover the hidden forces that may shape our world. Our journey takes us to haunted places and historical sites, where we uncover chilling tales of ghostly encounters and unexplained occurrences. We delve into the science of the supernatural, seeking to understand the mechanisms behind these extraordinary experiences and to separate fact from fiction. Examine the role of psychology and the influence of cultural beliefs in shaping our perceptions of the paranormal. Discover the cultural significance of the paranormal, examining how different societies have interpreted and responded to these extraordinary experiences throughout history. Explore the role of religion and spirituality in shaping paranormal beliefs and practices, and delve into the impact of paranormal phenomena on art, literature, and popular culture. Paranormal: In Search of Extraordinary Answers is an invitation to explore the unknown, to question our assumptions about reality, and to embrace the mysteries that lie beyond our everyday understanding. With a blend of scientific inquiry and open-minded curiosity, this book takes you on a journey that will expand your horizons and challenge your perception of the world. If you like this book, write a review on google books!","""Body"", ""Mind & Spirit""",paranormal
Pseudoscience and Extraordinary Claims of the Paranormal,A Critical Thinker's Toolkit,Jonathan C. Smith,John Wiley & Sons,"Pseudoscience and Extraordinary Claims of the Paranormal: A Critical Thinker's Toolkit provides readers with a variety of ""reality-checking"" tools to analyze extraordinary claims and to determine their validity. Integrates simple yet powerful evaluative tools used by both paranormal believers and skeptics alike Introduces innovations such as a continuum for ranking paranormal claims and evaluating their implications Includes an innovative ""Critical Thinker's Toolkit,"" a systematic approach for performing reality checks on paranormal claims related to astrology, psychics, spiritualism, parapsychology, dream telepathy, mind-over-matter, prayer, life after death, creationism, and more Explores the five alternative hypotheses to consider when confronting a paranormal claimâ€œ/li> Reality Check boxes, integrated into the text, invite students to engage in further discussion and examination of claims Written in a lively, engaging style for students and general readers alike Ancillaries: Testbank and PowerPoint slides available at www.wiley.com/go/pseudoscience","""Psychology""",paranormal
Into the Ether : An Investigative Guide to Paranormal Phenomena,,Dr. Rahul Joshi,Taneesha Publishing,"This book is designed to be your starting point in paranormal worldâ€™s journey. Weâ€™ll look at the history of paranormal research, the tools and techniques investigators use, and the challenges they face. Youâ€™ll learn how to investigate responsibly, respectfully, and with the curiosity that drives all great explorers. The goal is not to prove or disprove the paranormal, but to explore it thoughtfully. With an open mind and the right approach, you can step into the unknownâ€”not to get lost in mystery, but to understand it a little better.","""Fiction""",paranormal
Classic Tales Of The Paranormal,The Strange Case Of Dr. Jekyll And Mr. Hyde,Various Authors,Harper Collins,"Discover supernatural creatures and bizarre realms with these classic tales of the paranormal. This special ebook bundle includes The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson, The Island of Doctor Moreau by H. G. Wells, The Turn of the Screw by Henry James, â€œThe Call of Cthulhuâ€ by H. P. Lovecraft, and â€œThe Hanging Strangerâ€ and â€œThe Eyes Have Itâ€ by Philip K. Dick. HarperPerennial Classics brings great works of literature to life in digital format, upholding the highest standards in ebook production and celebrating reading in all its forms. Look for more titles in the HarperPerennial Classics collection to build your digital library.","""Fiction""",paranormal
Islam And the Paranormal,"What Does Islam Says About the Supernatural in the Light of Qur'an, Sunnah And Hadith",Moiz Ansari,iUniverse,"Horoscopes, tarot cards, magic, palmistry.these and other black arts are very real and exist in our everyday world. But how and why does black magic affect us? The Holy Qu'ran continually mentions that humans are not the only intelligent beings on Earth or in the universe. Other beings do exist. These include Jinn, invisible beings that share the human qualities of intelligence and free will. But Jinn are created from fire. These beings, if good, leave humans alone and live for the pursuit of happiness. But when Jinn turn to the dark side, they can affect humans in very negative ways. When cooperating with evil human beings, Jinn can become the conduits of black magic. To fend these forces off, the only thing we need is the Holy Qu'ran, or the ""Cure."" Scholar and Islam researcher Moiz Ansari shows the relationship between good and evil in ""Islam and the Paranormal."" By following these steps from the Holy Qu'ran and advice from the prophet Mohammed, we can lead a better life.","""Religion""",paranormal
